cell_class	channel_combo	plate	well
Interphase	DAPI_COXIV_CENPA_WGA	1	A3
Interphase	DAPI_CENPA	1	A3
Interphase	DAPI_WGA	1	A3
Mitotic	DAPI_COXIV_CENPA_WGA	1	A3
Mitotic	DAPI_CENPA	1	A3
Mitotic	DAPI_WGA	1	A3
all	DAPI_COXIV_CENPA_WGA	1	A3
all	DAPI_CENPA	1	A3
all	DAPI_WGA	1	A3
Interphase	DAPI_COXIV_CENPA_WGA	1	B3
Interphase	DAPI_CENPA	1	B3
Interphase	DAPI_WGA	1	B3
Mitotic	DAPI_COXIV_CENPA_WGA	1	B3
Mitotic	DAPI_CENPA	1	B3
Mitotic	DAPI_WGA	1	B3
all	DAPI_COXIV_CENPA_WGA	1	B3
all	DAPI_CENPA	1	B3
all	DAPI_WGA	1	B3
Interphase	DAPI_COXIV_CENPA_WGA	3	B3
Interphase	DAPI_CENPA	3	B3
Interphase	DAPI_WGA	3	B3
Mitotic	DAPI_COXIV_CENPA_WGA	3	B3
Mitotic	DAPI_CENPA	3	B3
Mitotic	DAPI_WGA	3	B3
all	DAPI_COXIV_CENPA_WGA	3	B3
all	DAPI_CENPA	3	B3
all	DAPI_WGA	3	B3
Interphase	DAPI_COXIV_CENPA_WGA	2	B1
Interphase	DAPI_CENPA	2	B1
Interphase	DAPI_WGA	2	B1
Mitotic	DAPI_COXIV_CENPA_WGA	2	B1
Mitotic	DAPI_CENPA	2	B1
Mitotic	DAPI_WGA	2	B1
all	DAPI_COXIV_CENPA_WGA	2	B1
all	DAPI_CENPA	2	B1
all	DAPI_WGA	2	B1
Interphase	DAPI_COXIV_CENPA_WGA	1	A2
Interphase	DAPI_CENPA	1	A2
Interphase	DAPI_WGA	1	A2
Mitotic	DAPI_COXIV_CENPA_WGA	1	A2
Mitotic	DAPI_CENPA	1	A2
Mitotic	DAPI_WGA	1	A2
all	DAPI_COXIV_CENPA_WGA	1	A2
all	DAPI_CENPA	1	A2
all	DAPI_WGA	1	A2
Interphase	DAPI_COXIV_CENPA_WGA	3	B1
Interphase	DAPI_CENPA	3	B1
Interphase	DAPI_WGA	3	B1
Mitotic	DAPI_COXIV_CENPA_WGA	3	B1
Mitotic	DAPI_CENPA	3	B1
Mitotic	DAPI_WGA	3	B1
all	DAPI_COXIV_CENPA_WGA	3	B1
all	DAPI_CENPA	3	B1
all	DAPI_WGA	3	B1
Interphase	DAPI_COXIV_CENPA_WGA	1	A1
Interphase	DAPI_CENPA	1	A1
Interphase	DAPI_WGA	1	A1
Mitotic	DAPI_COXIV_CENPA_WGA	1	A1
Mitotic	DAPI_CENPA	1	A1
Mitotic	DAPI_WGA	1	A1
all	DAPI_COXIV_CENPA_WGA	1	A1
all	DAPI_CENPA	1	A1
all	DAPI_WGA	1	A1
Interphase	DAPI_COXIV_CENPA_WGA	1	B1
Interphase	DAPI_CENPA	1	B1
Interphase	DAPI_WGA	1	B1
Mitotic	DAPI_COXIV_CENPA_WGA	1	B1
Mitotic	DAPI_CENPA	1	B1
Mitotic	DAPI_WGA	1	B1
all	DAPI_COXIV_CENPA_WGA	1	B1
all	DAPI_CENPA	1	B1
all	DAPI_WGA	1	B1
Interphase	DAPI_COXIV_CENPA_WGA	2	B2
Interphase	DAPI_CENPA	2	B2
Interphase	DAPI_WGA	2	B2
Mitotic	DAPI_COXIV_CENPA_WGA	2	B2
Mitotic	DAPI_CENPA	2	B2
Mitotic	DAPI_WGA	2	B2
all	DAPI_COXIV_CENPA_WGA	2	B2
all	DAPI_CENPA	2	B2
all	DAPI_WGA	2	B2
Interphase	DAPI_COXIV_CENPA_WGA	3	B2
Interphase	DAPI_CENPA	3	B2
Interphase	DAPI_WGA	3	B2
Mitotic	DAPI_COXIV_CENPA_WGA	3	B2
Mitotic	DAPI_CENPA	3	B2
Mitotic	DAPI_WGA	3	B2
all	DAPI_COXIV_CENPA_WGA	3	B2
all	DAPI_CENPA	3	B2
all	DAPI_WGA	3	B2
Interphase	DAPI_COXIV_CENPA_WGA	1	B2
Interphase	DAPI_CENPA	1	B2
Interphase	DAPI_WGA	1	B2
Mitotic	DAPI_COXIV_CENPA_WGA	1	B2
Mitotic	DAPI_CENPA	1	B2
Mitotic	DAPI_WGA	1	B2
all	DAPI_COXIV_CENPA_WGA	1	B2
all	DAPI_CENPA	1	B2
all	DAPI_WGA	1	B2
Interphase	DAPI_COXIV_CENPA_WGA	2	A3
Interphase	DAPI_CENPA	2	A3
Interphase	DAPI_WGA	2	A3
Mitotic	DAPI_COXIV_CENPA_WGA	2	A3
Mitotic	DAPI_CENPA	2	A3
Mitotic	DAPI_WGA	2	A3
all	DAPI_COXIV_CENPA_WGA	2	A3
all	DAPI_CENPA	2	A3
all	DAPI_WGA	2	A3
Interphase	DAPI_COXIV_CENPA_WGA	2	B3
Interphase	DAPI_CENPA	2	B3
Interphase	DAPI_WGA	2	B3
Mitotic	DAPI_COXIV_CENPA_WGA	2	B3
Mitotic	DAPI_CENPA	2	B3
Mitotic	DAPI_WGA	2	B3
all	DAPI_COXIV_CENPA_WGA	2	B3
all	DAPI_CENPA	2	B3
all	DAPI_WGA	2	B3
Interphase	DAPI_COXIV_CENPA_WGA	3	A3
Interphase	DAPI_CENPA	3	A3
Interphase	DAPI_WGA	3	A3
Mitotic	DAPI_COXIV_CENPA_WGA	3	A3
Mitotic	DAPI_CENPA	3	A3
Mitotic	DAPI_WGA	3	A3
all	DAPI_COXIV_CENPA_WGA	3	A3
all	DAPI_CENPA	3	A3
all	DAPI_WGA	3	A3
Interphase	DAPI_COXIV_CENPA_WGA	2	A2
Interphase	DAPI_CENPA	2	A2
Interphase	DAPI_WGA	2	A2
Mitotic	DAPI_COXIV_CENPA_WGA	2	A2
Mitotic	DAPI_CENPA	2	A2
Mitotic	DAPI_WGA	2	A2
all	DAPI_COXIV_CENPA_WGA	2	A2
all	DAPI_CENPA	2	A2
all	DAPI_WGA	2	A2
Interphase	DAPI_COXIV_CENPA_WGA	2	A1
Interphase	DAPI_CENPA	2	A1
Interphase	DAPI_WGA	2	A1
Mitotic	DAPI_COXIV_CENPA_WGA	2	A1
Mitotic	DAPI_CENPA	2	A1
Mitotic	DAPI_WGA	2	A1
all	DAPI_COXIV_CENPA_WGA	2	A1
all	DAPI_CENPA	2	A1
all	DAPI_WGA	2	A1
Interphase	DAPI_COXIV_CENPA_WGA	3	A2
Interphase	DAPI_CENPA	3	A2
Interphase	DAPI_WGA	3	A2
Mitotic	DAPI_COXIV_CENPA_WGA	3	A2
Mitotic	DAPI_CENPA	3	A2
Mitotic	DAPI_WGA	3	A2
all	DAPI_COXIV_CENPA_WGA	3	A2
all	DAPI_CENPA	3	A2
all	DAPI_WGA	3	A2
Interphase	DAPI_COXIV_CENPA_WGA	3	A1
Interphase	DAPI_CENPA	3	A1
Interphase	DAPI_WGA	3	A1
Mitotic	DAPI_COXIV_CENPA_WGA	3	A1
Mitotic	DAPI_CENPA	3	A1
Mitotic	DAPI_WGA	3	A1
all	DAPI_COXIV_CENPA_WGA	3	A1
all	DAPI_CENPA	3	A1
all	DAPI_WGA	3	A1
